,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,Bihar state road transport corporation (BSRTC) - 152154,Volvo AC Seater 2+2,16:30,08:30,16h 00m,1020,26 Seats available,"3.2
364",https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
1,Bihar state road transport corporation (BSRTC) - 117799,Volvo A/C Sleeper (2+1),19:10,11:59,16h 49m,INR 1500,18 Seats available,"3.1
97",https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
2,Singh Express Bus Service,A/C Seater / Sleeper (2+2),15:00,10:00,19h 00m,INR 1599,20 Seats available,"1.0
6",https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
3,Rajdhani Express,A/C Seater / Sleeper (2+2),15:00,07:00,16h 00m,1294,30 Seats available,"1.0
5",https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
4,Travel Point World LLP,A/C Seater / Sleeper (2+2),20:20,10:50,14h 30m,INR 1999,38 Seats available,"1.9
6",https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
5,Baba Khatushyam Travels Pvt Ltd,A/C Seater / Sleeper (3+1),19:00,11:49,16h 49m,INR 1050,56 Seats available,"1.3
11",https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
6,Armaan Tour & Travels,A/C Seater / Sleeper (2+1),16:50,13:00,20h 10m,1439,48 Seats available,2.5,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
7,New Travel India,A/C Seater / Sleeper (2+1),18:15,08:10,13h 55m,INR 2499,30 Seats available,1.4,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
8,New Travel India,A/C Seater / Sleeper (2+1),18:05,08:00,13h 55m,INR 2499,14 Seats available,1.4,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
9,New Travel India,A/C Seater / Sleeper (2+1),17:40,08:30,14h 50m,INR 2499,14 Seats available,1.4,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
