,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,HRTC - 129,Ordinary 3+2 Non AC Seater,08:50,18:40,09h 50m,INR 512,37 Seats available,"2.6
4",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
1,HRTC - 7,Himsuta AC Seater Volvo/Scania 2+2,09:25,18:30,09h 05m,INR 912,34 Seats available,"4.5
81",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
2,HRTC - 657,Ordinary 3+2 Non AC Seater,11:00,22:00,11h 00m,INR 512,33 Seats available,"2.7
8",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
3,HRTC - 515,Ordinary 3+2 Non AC Seater,12:30,22:50,10h 20m,INR 512,37 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
4,HRTC - 551,A/C Executive (2+3),15:30,01:30,10h 00m,INR 632,42 Seats available,"3.5
8",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
5,HRTC - 525,Ordinary 3+2 Non AC Seater,16:50,03:00,10h 10m,INR 512,27 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
6,HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,04:15,10h 16m,INR 512,27 Seats available,"2.5
5",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
7,HRTC - 538,Ordinary 3+2 Non AC Seater,18:31,05:30,10h 59m,INR 512,27 Seats available,"4.6
7",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
8,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,04:45,09h 10m,INR 912,34 Seats available,"3.6
40",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
9,HRTC - 556,Ordinary 3+2 Non AC Seater,20:10,05:45,09h 35m,INR 512,19 Seats available,"4.5
10",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
10,HRTC - 591,A/C Executive (2+3),21:00,07:20,10h 20m,INR 632,42 Seats available,"3.7
45",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
11,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02,06:30,09h 28m,INR 912,34 Seats available,"4.6
87",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
