,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,NBSTC-COB-KOL-R1-13:30,Non AC Seater 2+2,17:15,06:30,13h 15m,INR 486,23 Seats available,"3.7
150",https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
1,NBSTC-SLG-KOL-R1-18:30,NON A/C Seater Push Back (2+2),18:30,06:30,12h 00m,INR 486,19 Seats available,"3.9
398",https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
2,Express Line,Volvo 9600 A/C Seater/Sleeper (2+1),19:30,08:00,12h 30m,1199,47 Seats available,"4.4
620",https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
3,Greenline,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,07:30,13h 00m,INR 1500,25 Seats available,"4.4
523",https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
4,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),19:30,08:20,12h 50m,INR 1200,17 Seats available,"4.5
738",https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
5,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,07:25,12h 55m,INR 1500,27 Seats available,"4.7
645",https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
6,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:00,06:05,12h 05m,INR 1500,22 Seats available,"4.5
425",https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
7,NORTH BENGAL STATE TRANSPORT CORPORATION,Non AC Seater (2+3),15:00,04:20,13h 20m,INR 450,48 Seats available,"3.3
61",https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
8,NBSTC-KOL-COB-R1-17:00,Non AC Seater 2+2,17:00,05:00,12h 00m,INR 486,17 Seats available,"3.7
196",https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
9,NBSTC-KOL-SLG-R1-18:00,NON A/C Seater Push Back (2+2),18:00,06:00,12h 00m,INR 486,11 Seats available,"3.9
379",https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
10,,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
11,,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
12,,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
13,,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
