,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,PEPSU (Punjab) - 67166,Volvo AC Seater (2+2),16:50,22:50,06h 00m,INR 873,39 Seats available,"3.7
6",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
1,PEPSU (Punjab) - 67132,Volvo AC Seater (2+2),17:40,23:40,06h 00m,INR 873,38 Seats available,"3.6
10",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
2,PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),21:50,04:50,07h 00m,INR 873,37 Seats available,"4.0
4",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
3,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:20,05:00,06h 40m,INR 405,32 Seats available,"4.6
327",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
4,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:45,06:10,07h 25m,INR 381,33 Seats available,"4.7
113",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
5,Laxmi holidays,VE A/C Sleeper (2+1),23:00,06:00,07h 00m,570,26 Seats available,"4.3
341",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
6,Yolo Bus,VE A/C Seater / Sleeper (2+1),23:30,05:24,05h 54m,405,24 Seats available,"4.6
377",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
7,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:00,06:00,08h 00m,INR 383,23 Seats available,"4.6
84",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
8,PEPSU (Punjab) - 67096,Volvo AC Seater (2+2),16:15,23:15,07h 00m,INR 873,34 Seats available,"4.2
15",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
9,PEPSU (Punjab) - 67135,Volvo AC Seater (2+2),17:35,01:35,08h 00m,INR 873,36 Seats available,4.0,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
10,PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,03:25,07h 35m,INR 873,5 Seats available,"3.2
11",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
11,PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,02:49,05h 59m,INR 873,35 Seats available,"4.3
30",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
12,PEPSU (Punjab) - 67164,Volvo AC Seater (2+2),21:50,03:49,05h 59m,INR 873,34 Seats available,"3.4
9",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
