,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,04:25,08h 25m,INR 473,7 Seats available,"3.4
68",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
1,KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),20:31,05:36,09h 05m,INR 640,11 Seats available,"3.9
53",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
2,KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),21:31,06:36,09h 05m,INR 640,19 Seats available,"3.6
33",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
3,KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:12,07:36,09h 24m,INR 640,11 Seats available,"4.2
17",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
4,KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:32,07:35,09h 03m,INR 627,5 Seats available,"3.7
45",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
5,KSRTC (Kerala) - 574,Super Express Non AC Seater Air Bus (2+2),23:00,09:30,10h 30m,INR 469,2 Seats available,"3.2
35",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
6,KSRTC (Kerala) - 583,Super Express Non AC Seater Air Bus (2+2),23:30,09:35,10h 05m,INR 469,7 Seats available,"3.5
65",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
7,KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:41,09:05,09h 24m,INR 627,18 Seats available,"3.4
52",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
8,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,INR 599,36 Seats available,"4.2
351",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
9,NS Transports,VE A/C Sleeper (2+1),22:45,07:30,08h 45m,INR 949,7 Seats available,"4.1
292",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
10,MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,INR 750,25 Seats available,"4.3
518",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
11,AdSURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),21:00,07:30,10h 30m,600,30 Seats available,"3.4
142",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
12,NS Transports,Non A/C Seater / Sleeper (2+1),22:15,06:30,08h 15m,INR 649,12 Seats available,"4.1
121",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
