,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,RSRTC - 174533,Express Non AC Seater 2+3,08:45,16:00,07h 15m,INR 299,42 Seats available,4.2,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
1,RSRTC - 188347,Super Luxury Volvo AC Seater Pushback 2+2,11:30,16:30,05h 00m,INR 602,8 Seats available,"4.2
187",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
2,RSRTC - 190115,Express Non AC Seater 2+3,12:00,19:30,07h 30m,INR 294,41 Seats available,4.2,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
3,RSRTC - 169076,Express Non AC Seater 2+3,12:10,00:00,11h 50m,INR 299,42 Seats available,4.2,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
4,RSRTC - 184043,Express Non AC Seater 2+3,12:45,19:00,06h 15m,INR 299,42 Seats available,4.2,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
5,RSRTC - 183203,Express Non AC Seater 2+3,13:30,19:30,06h 00m,INR 299,42 Seats available,4.2,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
6,RSRTC - 183141,Express Non AC Seater 2+3,14:35,21:00,06h 25m,INR 294,41 Seats available,"1.2
4",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
7,RSRTC - 192831,Express Non AC Seater 2+3,15:00,21:00,06h 00m,INR 285,42 Seats available,4.2,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
8,RSRTC - 157454,Super Luxury Volvo AC Seater Pushback 2+2,16:00,21:00,05h 00m,INR 602,14 Seats available,"4.1
144",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
9,RSRTC - 193271,Express Non AC Seater 2+3,19:30,02:00,06h 30m,INR 294,41 Seats available,4.2,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
10,RSRTC - 189622,Express Non AC Seater 2+3,22:00,05:00,07h 00m,INR 294,42 Seats available,"3.5
7",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
11,Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),17:00,21:30,04h 30m,INR 550,19 Seats available,"4.5
286",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
12,M R Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),17:10,21:55,04h 45m,INR 600,43 Seats available,"4.4
418",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
13,Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),12:50,17:20,04h 30m,INR 550,15 Seats available,"4.0
233",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
14,AdKalpana Travels,NON A/C Sleeper (2+1),22:00,04:54,06h 54m,INR 450,28 Seats available,"3.7
99",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
15,Jakhar Travels,A/C Seater / Sleeper (2+1),22:00,04:30,06h 30m,INR 457,34 Seats available,"3.9
259",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
16,RSRTC - 192577,Express Non AC Seater 2+3,08:00,12:55,04h 55m,INR 229,46 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
17,RSRTC - 186250,Super Luxury Volvo AC Seater Pushback 2+2,09:16,13:20,04h 04m,INR 460,37 Seats available,"4.8
22",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
18,RSRTC - 174461,Express Non AC Seater 2+3,09:30,14:15,04h 45m,INR 229,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
19,RSRTC - 179321,Express Non AC Seater 2+3,10:00,14:30,04h 30m,INR 229,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
20,RSRTC - 193432,Express Non AC Seater 2+3,10:00,15:45,05h 45m,INR 226,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
21,RSRTC - 179320,Express Non AC Seater 2+3,10:15,14:40,04h 25m,INR 229,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
22,RSRTC - 164138,Express Non AC Seater 2+3,10:30,15:00,04h 30m,INR 229,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
23,RSRTC - 177048,Semi Deluxe Non AC Seater 2+2,10:45,15:50,05h 05m,INR 250,34 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
24,RSRTC - 182944,Express Non AC Seater 2+3,11:15,15:50,04h 35m,INR 229,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
25,RSRTC - 187798,Super Luxury Volvo AC Seater Pushback 2+2,11:55,15:50,03h 55m,INR 460,37 Seats available,"4.1
33",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
26,RSRTC - 156405,Express Non AC Seater 2+3,12:00,16:30,04h 30m,INR 229,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
27,RSRTC - 193811,Deluxe AC Seater 2+2,12:30,16:55,04h 25m,INR 404,37 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
28,RSRTC - 194137,Express Non AC Seater 2+3,12:35,17:15,04h 40m,INR 229,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
