,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,TSRTC - 8633,Super Luxury (Non AC Seater 2+2 Push Back),06:55,10:55,04h 00m,INR 320,29 Seats available,"4.0
15",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
1,TSRTC - 64016,RAJDHANI (A.C. Semi Sleeper),07:00,11:00,04h 00m,INR 389,35 Seats available,"4.0
5",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
2,TSRTC - 64826,Super Luxury (Non AC Seater 2+2 Push Back),07:10,11:30,04h 20m,INR 320,31 Seats available,"4.8
10",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
3,TSRTC - 1954,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),07:25,11:00,03h 35m,INR 389,33 Seats available,"3.5
73",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
4,TSRTC - 8709,Super Luxury (Non AC Seater 2+2 Push Back),07:30,12:00,04h 30m,INR 320,31 Seats available,"4.0
13",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
5,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05:00,05h 20m,INR 410,24 Seats available,"3.4
11",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
6,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04:00,04h 20m,INR 450,25 Seats available,"3.0
9",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
7,BSR Tours And Travels,NON A/C Seater (2+2),23:40,06:00,06h 20m,INR 400,32 Seats available,"4.2
23",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
8,Sri Venkateswara Travels,A/C Semi Sleeper (2+2),23:45,05:20,05h 35m,650,40 Seats available,3.8,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
9,Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,INR 400,22 Seats available,"3.8
5",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
10,TSRTC - 8944,Super Luxury (Non AC Seater 2+2 Push Back),06:50,12:05,05h 15m,INR 320,31 Seats available,"4.2
29",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
11,TSRTC - 8806,Super Luxury (Non AC Seater 2+2 Push Back),06:50,12:45,05h 55m,INR 320,28 Seats available,"3.5
10",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
12,TSRTC - 6923,Super Luxury (Non AC Seater 2+2 Push Back),07:00,11:20,04h 20m,INR 320,31 Seats available,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
13,,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
14,,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
15,,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
