,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,UPSRTC - BLP0030,Rajdhani Non AC Seater 2+3,15:01,21:00,05h 59m,INR 426,51 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
1,UPSRTC - BLY0109,Janrath AC Seater 2+2,15:02,19:45,04h 43m,INR 598,36 Seats available,"3.8
17",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
2,UPSRTC - GND0081,Ordinary Non AC Seater 2+3,15:30,21:30,06h 00m,INR 426,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
3,UPSRTC - KSB0083,Shatabdi AC Seater 2+2,15:46,21:46,06h 00m,INR 598,37 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
4,UPSRTC - STD0147,Ordinary Non AC Seater 2+3,16:00,23:15,07h 15m,INR 448,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5,UPSRTC - BLP0032,Ordinary Non AC Seater 2+3,16:01,22:00,05h 59m,INR 426,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
6,UPSRTC - HDD0085,Ordinary Non AC Seater 2+3,16:06,00:25,08h 19m,INR 444,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
7,UPSRTC - BLY0076,Ordinary Non AC Seater 2+3,16:30,21:30,05h 00m,INR 415,52 Seats available,"2.8
4",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
8,UPSRTC - RKD0109,Janrath AC Seater 2+2,16:31,22:00,05h 29m,INR 598,36 Seats available,"3.5
7",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
9,UPSRTC - BLY0148,Rajdhani Non AC Seater 2+3,17:00,22:00,05h 00m,INR 448,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
10,UPSRTC - BRT0036,Ordinary Non AC Seater 2+3,17:00,00:10,07h 10m,INR 449,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
11,UPSRTC - BLY0107,Janrath AC Seater 2+2,17:02,21:45,04h 43m,INR 598,36 Seats available,"1.9
11",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
12,UPSRTC - HDD0090,Ordinary Non AC Seater 2+3,17:04,02:50,09h 46m,INR 444,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
13,UPSRTC - GRH0125,Ordinary Non AC Seater 2+3,17:30,23:20,05h 50m,INR 418,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
14,UPSRTC - AWD0225,Shatabdi AC Seater 2+2,17:30,22:55,05h 25m,INR 598,37 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
15,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),22:15,04:15,06h 00m,759,26 Seats available,"4.4
87",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
16,New Khaira TPT,AC Sleeper (2+1),20:30,02:50,06h 20m,INR 749,19 Seats available,"3.3
14",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
17,New Khaira Transport,A/C Seater / Sleeper (2+2),21:00,03:30,06h 30m,INR 450,31 Seats available,"1.8
44",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
18,Rahul Travels,AshokLeyland Stile A/C,21:00,02:30,05h 30m,INR 699,20 Seats available,"1.9
6",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
19,FlixBus,AC Seater (2+2),23:35,05:00,05h 25m,INR 238,21 Seats available,"4.0
20",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
20,UPSRTC - GRH0164,Ordinary Non AC Seater 2+3,15:00,21:30,06h 30m,INR 418,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
21,UPSRTC - KSB0092,Shatabdi AC Seater 2+2,15:01,21:01,06h 00m,INR 598,36 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
22,UPSRTC - BRT0065,Ordinary Non AC Seater 2+3,15:25,22:00,06h 35m,INR 448,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
23,UPSRTC - GRH0165,Ordinary Non AC Seater 2+3,15:30,22:00,06h 30m,INR 418,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
24,UPSRTC - RKD0148,Janrath AC Seater 2+2,15:31,21:00,05h 29m,INR 598,35 Seats available,"4.5
4",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
25,UPSRTC - RKD0089,Ordinary Non AC Seater 2+3,16:01,23:59,07h 58m,INR 476,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
26,UPSRTC - RKD0119,Shatabdi AC Seater 2+2,16:16,21:16,05h 00m,INR 598,30 Seats available,"3.3
19",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
27,UPSRTC - KSB0086,Volvo AC Seater 2+2,17:01,22:31,05h 30m,INR 844,37 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
28,UPSRTC - RKD0130,Janrath AC Seater 2+3,17:31,22:31,05h 00m,INR 520,48 Seats available,"3.4
12",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
29,UPSRTC - BLY0111,Janrath AC Seater 2+2,19:01,23:45,04h 44m,INR 598,36 Seats available,"2.1
5",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
30,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),23:59,05:55,05h 56m,807,24 Seats available,"4.5
60",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
31,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),17:00,23:20,06h 20m,785,1 Seat available,"3.1
87",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
32,New Khaira Transport,A/C Seater / Sleeper (2+1),23:45,05:00,05h 15m,765,2 Seats available,"3.6
30",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
