,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,SBSTC-KOLKATA - DIGHA - 23:30 (DIGHA DEPOT) - 3988,Non AC Seater (2+3),23:30,04:00,04h 30m,INR 155,52 Seats available,"4.5
20",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
1,SBSTC-GARIA - DIGHA - 22:30 (DIGHA DEPOT) - 3745,Non AC Seater (2+3),23:45,04:15,04h 30m,INR 155,28 Seats available,"4.3
242",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
2,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,04:30,05h 00m,INR 300,10 Seats available,"4.5
340",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
3,Express Line,Volvo 9600 A/C Seater (2+2),23:45,04:45,05h 00m,INR 349,39 Seats available,"4.4
319",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
4,Mayuri Express,AC Seater (2+2),23:15,04:30,05h 15m,INR 400,29 Seats available,"4.2
182",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
5,Maa Chandi Travels,A/C Seater / Sleeper (2+2),23:57,05:10,05h 13m,360,37 Seats available,"4.2
72",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
6,Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),23:57,05:10,05h 13m,338,18 Seats available,"3.9
96",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
7,City Express (Shinjini),AC Seater (2+3),23:50,04:55,05h 05m,INR 270,28 Seats available,"3.0
66",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
8,Parameswar Travels,A/C Seater Push Back (2+3),23:45,05:00,05h 15m,285,51 Seats available,"3.1
122",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
9,Basu Travels,A/C Seater Push Back (2+3),23:30,04:30,05h 00m,INR 499,20 Seats available,"3.9
21",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
10,Basu Travels,A/C Seater / Sleeper (2+2),23:59,05:00,05h 01m,INR 300,34 Seats available,"3.2
40",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
11,Snemita Paribahan (Bhorpet),AC Seater (2+2),23:55,04:45,04h 50m,INR 370,29 Seats available,"3.6
17",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
